iter	Passed	Remaining
698	9586	4128
699	9598	4113
700	9612	4100
701	9625	4085
702	9638	4072
703	9653	4058
704	9667	4045
705	9681	4031
706	9692	4016
707	9706	4003
708	9720	3989
709	9733	3975
710	9746	3961
711	9759	3947
712	9774	3934
713	9788	3920
714	9801	3907
715	9818	3894
716	9832	3880
717	9846	3867
718	9860	3853
719	9874	3839
720	9887	3826
721	9903	3813
722	9918	3799
723	9932	3786
724	9944	3771
725	9958	3758
726	9971	3744
727	9984	3730
728	9997	3716
729	10011	3702
730	10026	3689
731	10040	3675
732	10053	3662
733	10065	3647
734	10080	3634
735	10096	3621
736	10108	3607
737	10123	3593
738	10137	3580
739	10151	3566
740	10164	3552
741	10178	3539
742	10192	3525
743	10205	3511
744	10219	3497
745	10233	3484
746	10246	3470
747	10263	3457
748	10277	3444
749	10292	3430
750	10307	3417
751	10320	3403
752	10332	3389
753	10346	3375
754	10359	3361
755	10373	3347
756	10386	3334
757	10401	3320
758	10416	3307
759	10429	3293
760	10444	3280
761	10458	3266
762	10472	3252
763	10487	3239
764	10499	3225
765	10513	3211
766	10527	3197
767	10542	3184
768	10554	3170
769	10567	3156
770	10583	3143
771	10596	3129
772	10608	3115
773	10621	3101
774	10636	3088
775	10649	3074
776	10662	3060
777	10676	3046
778	10688	3032
779	10703	3018
780	10718	3005
781	10732	2992
782	10746	2978
783	10760	2964
784	10774	2951
785	10789	2937
786	10804	2924
787	10817	2910
788	10829	2896
789	10845	2882
790	10857	2868
791	10868	2854
792	10882	2840
793	10896	2827
794	10909	2813
795	10923	2799
796	10938	2786
797	10951	2772
798	10964	2758
799	10978	2744
800	10992	2730
801	11005	2717
802	11018	2703
803	11031	2689
804	11045	2675
805	11059	2662
806	11075	2648
807	11088	2634
808	11103	2621
809	11118	2608
810	11134	2594
811	11149	2581
812	11163	2567
813	11177	2554
814	11192	2540
815	11208	2527
816	11223	2514
817	11239	2500
818	11254	2487
819	11268	2473
820	11283	2460
821	11298	2446
822	11311	2432
823	11325	2419
824	11340	2405
825	11357	2392
826	11371	2378
827	11384	2364
828	11401	2351
829	11415	2338
830	11427	2324
831	11441	2310
832	11457	2296
833	11471	2283
834	11486	2269
835	11501	2256
836	11515	2242
837	11528	2228
838	11543	2215
839	11556	2201
840	11570	2187
841	11584	2173
842	11601	2160
843	11616	2147
844	11629	2133
845	11644	2119
846	11657	2105
847	11673	2092
848	11687	2078
849	11701	2065
850	11714	2051
851	11728	2037
852	11742	2023
853	11755	2009
854	11770	1996
855	11784	1982
856	11800	1968
857	11813	1955
858	11825	1941
859	11841	1927
860	11855	1913
861	11867	1899
862	11881	1886
863	11895	1872
864	11910	1858
865	11926	1845
866	11940	1831
867	11953	1817
868	11966	1803
869	11980	1790
870	11993	1776
871	12006	1762
872	12020	1748
873	12035	1735
874	12047	1721
875	12062	1707
876	12076	1693
877	12090	1680
878	12102	1666
879	12117	1652
880	12131	1638
881	12144	1624
882	12158	1611
883	12173	1597
884	12187	1583
885	12200	1569
886	12215	1556
887	12228	1542
888	12243	1528
889	12258	1515
890	12273	1501
891	12289	1487
892	12303	1474
893	12316	1460
894	12329	1446
895	12343	1432
896	12357	1418
897	12369	1405
898	12385	1391
899	12398	1377
900	12412	1363
901	12426	1350
902	12440	1336
903	12454	1322
904	12469	1308
905	12482	1295
906	12496	1281
907	12511	1267
908	12525	1253
909	12540	1240
910	12553	1226
911	12566	1212
912	12581	1198
913	12594	1185
914	12607	1171
915	12621	1157
916	12633	1143
917	12649	1129
918	12664	1116
919	12679	1102
920	12694	1088
921	12707	1075
922	12721	1061
923	12737	1047
924	12752	1033
925	12766	1020
926	12780	1006
927	12795	992
928	12810	979
929	12824	965
930	12839	951
931	12853	937
932	12868	924
933	12883	910
934	12897	896
935	12909	882
936	12924	868
937	12936	855
938	12949	841
939	12963	827
940	12978	813
941	12992	799
942	13006	786
943	13020	772
944	13032	758
945	13046	744
946	13059	730
947	13075	717
948	13088	703
949	13103	689
950	13119	675
951	13134	662
952	13148	648
953	13163	634
954	13178	620
955	13192	607
956	13207	593
957	13223	579
958	13236	565
959	13249	552
960	13263	538
961	13275	524
962	13288	510
963	13302	496
964	13317	483
965	13330	469
966	13361	455
967	13396	442
968	13409	428
969	13422	415
970	13437	401
971	13451	387
972	13464	373
973	13477	359
974	13492	345
975	13505	332
976	13518	318
977	13534	304
978	13548	290
979	13563	276
980	13577	262
981	13593	249
982	13607	235
983	13622	221
984	13635	207
985	13648	193
986	13661	179
987	13677	166
988	13690	152
989	13704	138
990	13718	124
991	13733	110
992	13748	96
993	13762	83
994	13775	69
995	13789	55
996	13809	41
997	13822	27
998	13836	13
999	13849	0
